date,time,level,direction
2026-06-01,10:16:00,2895,down
2026-06-01,10:51:00,2925,up
2026-06-02,09:15:00,2895,down
2026-06-02,13:07:00,2925,up
2026-06-02,14:35:00,2955,up
2026-06-03,09:36:00,2925,down
2026-06-03,09:55:00,2895,down
2026-06-03,12:34:00,2925,up
2026-06-04,09:18:00,2955,up
2026-06-05,09:15:00,3015,up
2026-06-05,09:18:00,2985,down
2026-06-05,09:22:00,2955,down
2026-06-05,09:25:00,2985,up
2026-06-05,09:26:00,3015,up
2026-06-05,09:39:00,3045,up
2026-06-05,10:41:00,3015,down
2026-06-05,13:23:00,2985,down
2026-06-05,14:29:00,3015,up
2026-06-05,14:45:00,3045,up
2026-06-08,09:15:00,3015,down
2026-06-08,15:03:00,2985,down
2026-06-09,10:23:00,2955,down
2026-06-09,11:46:00,2985,up
2026-06-09,12:58:00,2955,down
2026-06-09,15:05:00,2985,up
2026-06-10,09:20:00,2955,down
2026-06-10,10:37:00,2985,up
2026-06-10,10:45:00,2985,up
2026-06-10,13:00:57,2985,up
2026-06-10,14:39:31,2955,down
2026-06-10,15:13:50,2925,down
