date,time,level,direction
2026-06-01,10:14:00,1785,down
2026-06-01,11:09:00,1803,up
2026-06-01,14:18:00,1785,down
2026-06-02,09:33:00,1767,down
2026-06-02,09:58:00,1785,up
2026-06-02,13:06:00,1803,up
2026-06-03,09:15:00,1821,up
2026-06-03,09:17:00,1839,up
2026-06-03,09:36:00,1821,down
2026-06-03,10:28:00,1803,down
2026-06-03,12:03:00,1785,down
2026-06-03,12:38:00,1803,up
2026-06-04,09:23:00,1821,up
2026-06-04,11:03:00,1803,down
2026-06-05,12:06:00,1821,up
2026-06-08,15:21:00,1803,down
2026-06-09,14:11:00,1821,up
2026-06-10,10:07:00,1839,up
2026-06-10,10:59:00,1857,up
2026-06-10,11:32:00,1839,down
2026-06-10,11:35:00,1839,up
2026-06-10,13:33:13,1839,down
2026-06-10,15:12:49,1821,down
