date,time,level,direction
2026-06-01,09:17:00,2762,up
2026-06-01,09:38:00,2737,down
2026-06-01,11:21:00,2712,down
2026-06-01,11:44:00,2687,down
2026-06-01,13:34:00,2662,down
2026-06-01,14:49:00,2637,down
2026-06-02,12:00:00,2612,down
2026-06-02,12:45:00,2637,up
2026-06-02,13:46:00,2662,up
2026-06-03,09:15:00,2637,down
2026-06-03,09:31:00,2662,up
2026-06-04,09:33:00,2687,up
2026-06-04,12:45:00,2662,down
2026-06-05,09:35:00,2687,up
2026-06-08,09:15:00,2637,down
2026-06-08,09:58:00,2662,up
2026-06-09,09:34:00,2687,up
2026-06-09,14:40:00,2712,up
2026-06-10,09:24:00,2737,up
2026-06-10,09:26:00,2737,up
2026-06-10,12:51:52,2737,up
2026-06-10,15:28:58,2712,down
