date,time,level,direction
2026-06-01,09:39:00,1290,up
2026-06-01,11:33:00,1278,down
2026-06-02,09:15:00,1266,down
2026-06-02,10:51:00,1254,down
2026-06-03,09:16:00,1242,down
2026-06-03,12:36:00,1254,up
2026-06-05,10:24:00,1266,up
2026-06-05,10:46:00,1254,down
2026-06-05,11:04:00,1266,up
2026-06-08,09:25:00,1278,up
2026-06-08,11:22:00,1266,down
2026-06-08,12:43:00,1278,up
2026-06-08,15:24:00,1266,down
2026-06-09,09:15:00,1278,up
2026-06-09,09:32:00,1290,up
2026-06-09,10:03:00,1278,down
2026-06-09,14:29:00,1290,up
2026-06-10,10:07:00,1302,up
2026-06-10,11:33:00,1314,up
2026-06-10,13:06:03,1326,up
2026-06-10,15:21:56,1314,down
