date,time,level,direction
2026-06-01,11:58:00,894,down
2026-06-02,09:15:00,867,down
2026-06-02,12:44:00,876,up
2026-06-03,10:16:00,867,down
2026-06-03,13:46:00,876,up
2026-06-05,09:22:00,885,up
2026-06-05,09:55:00,894,up
2026-06-05,10:08:00,903,up
2026-06-05,10:09:00,912,up
2026-06-05,10:14:00,903,down
2026-06-05,12:42:00,894,down
2026-06-05,13:42:00,885,down
2026-06-05,14:46:00,894,up
2026-06-08,09:15:00,876,down
2026-06-08,11:36:00,867,down
2026-06-08,12:46:00,876,up
2026-06-09,10:47:00,885,up
2026-06-09,11:31:00,876,down
2026-06-09,13:17:00,885,up
2026-06-09,13:37:00,885,up
2026-06-10,13:58:20,885,down
