date,time,level,direction
2026-06-01,10:29:00,257,down
2026-06-02,09:15:00,254,down
2026-06-02,13:12:00,257,up
2026-06-03,09:17:00,254,down
2026-06-03,12:43:00,257,up
2026-06-03,14:42:00,260,up
2026-06-04,10:03:00,263,up
2026-06-05,09:49:00,266,up
2026-06-05,10:03:00,269,up
2026-06-05,10:12:00,266,down
2026-06-08,09:15:00,263,down
2026-06-08,09:33:00,266,up
2026-06-08,10:06:00,263,down
2026-06-08,11:23:00,260,down
2026-06-09,09:20:00,263,up
2026-06-09,11:00:00,266,up
2026-06-09,11:54:00,269,up
2026-06-09,13:16:00,272,up
2026-06-10,15:14:51,269,down
