date,time,level,direction
2026-06-01,09:18:00,410.5,up
2026-06-01,10:20:00,406.5,down
2026-06-02,09:15:00,402.5,down
2026-06-02,11:23:00,406.5,up
2026-06-04,13:32:00,410.5,up
2026-06-05,12:31:00,406.5,down
2026-06-08,09:15:00,402.5,down
2026-06-08,09:35:00,406.5,up
2026-06-08,11:40:00,410.5,up
2026-06-08,12:49:00,414.5,up
2026-06-08,14:14:00,410.5,down
2026-06-08,14:52:00,414.5,up
2026-06-09,10:27:00,410.5,down
2026-06-09,10:38:00,410.5,up
2026-06-09,10:43:00,410.5,up
2026-06-10,14:43:34,410.5,down
