date,time,level,direction
2026-06-01,09:37:00,409,down
2026-06-01,11:59:00,405,down
2026-06-02,09:53:00,409,up
2026-06-03,09:53:00,405,down
2026-06-03,11:53:00,401,down
2026-06-03,13:17:00,405,up
2026-06-04,10:47:00,409,up
2026-06-04,13:05:00,405,down
2026-06-04,13:54:00,401,down
2026-06-04,14:18:00,397,down
2026-06-04,14:23:00,393,down
2026-06-04,14:31:00,389,down
2026-06-04,14:36:00,385,down
2026-06-04,14:39:00,389,up
2026-06-05,09:16:00,385,down
2026-06-05,09:35:00,389,up
2026-06-05,09:41:00,393,up
2026-06-05,11:28:00,397,up
2026-06-05,11:48:00,393,down
2026-06-05,13:12:00,389,down
2026-06-08,09:15:00,385,down
2026-06-08,12:51:00,389,up
2026-06-08,15:24:00,385,down
2026-06-09,09:18:00,389,up
2026-06-09,12:15:00,393,up
2026-06-09,15:06:00,397,up
2026-06-10,09:18:00,393,down
2026-06-10,11:19:00,389,down
2026-06-10,12:34:00,385,down
2026-06-10,13:49:26,381,down
2026-06-10,15:14:51,377,down
