date,time,level,direction
2026-06-01,09:19:00,461,up
2026-06-01,09:43:00,466,up
2026-06-01,10:50:00,471,up
2026-06-01,11:31:00,476,up
2026-06-01,13:03:00,471,down
2026-06-02,09:29:00,466,down
2026-06-02,10:21:00,471,up
2026-06-03,09:19:00,476,up
2026-06-03,10:07:00,471,down
2026-06-04,10:53:00,476,up
2026-06-04,11:28:00,481,up
2026-06-05,10:06:00,476,down
2026-06-05,11:16:00,471,down
2026-06-08,09:56:00,466,down
2026-06-09,09:23:00,461,down
2026-06-09,12:16:00,466,up
2026-06-10,12:11:00,461,down
2026-06-10,13:56:33,456,down
2026-06-10,15:02:45,451,down
