date,time,level,direction
2026-06-01,09:16:00,463,up
2026-06-01,09:56:00,459,down
2026-06-01,10:42:00,463,up
2026-06-01,10:52:00,467,up
2026-06-01,15:00:00,463,down
2026-06-02,11:41:00,459,down
2026-06-03,09:26:00,455,down
2026-06-03,10:09:00,451,down
2026-06-03,12:01:00,447,down
2026-06-03,13:52:00,451,up
2026-06-05,09:15:00,455,up
2026-06-05,10:40:00,451,down
2026-06-08,09:15:00,447,down
2026-06-08,13:46:00,443,down
2026-06-09,09:17:00,447,up
2026-06-09,14:35:00,451,up
2026-06-10,15:07:46,447,down
