date,time,level,direction
2026-06-01,09:23:00,434,down
2026-06-01,11:28:00,430,down
2026-06-01,14:08:00,426,down
2026-06-02,09:16:00,422,down
2026-06-02,14:30:00,426,up
2026-06-03,09:15:00,422,down
2026-06-03,11:07:00,418,down
2026-06-04,10:43:00,422,up
2026-06-04,11:20:00,426,up
2026-06-05,09:33:00,422,down
2026-06-05,10:55:00,426,up
2026-06-08,09:15:00,422,down
2026-06-09,14:55:00,426,up
2026-06-10,09:17:00,430,up
2026-06-10,09:24:00,434,up
2026-06-10,09:53:00,438,up
2026-06-10,10:48:00,434,down
2026-06-10,12:39:40,430,down
