date,time,level,direction
2026-06-02,09:15:00,1006,down
2026-06-02,09:31:00,996,down
2026-06-02,11:33:00,986,down
2026-06-02,14:26:00,996,up
2026-06-03,09:54:00,986,down
2026-06-03,13:03:00,976,down
2026-06-03,15:07:00,986,up
2026-06-04,11:30:00,996,up
2026-06-08,09:15:00,986,down
2026-06-08,10:31:00,996,up
2026-06-09,11:09:00,1006,up
2026-06-10,09:16:00,1016,up
2026-06-10,09:19:00,1026,up
2026-06-10,09:47:00,1036,up
2026-06-10,10:56:00,1026,down
2026-06-10,13:05:01,1036,up
2026-06-10,15:14:51,1026,down
