date,time,level,direction
2026-06-01,09:23:00,1768,down
2026-06-01,10:30:00,1752,down
2026-06-01,11:04:00,1768,up
2026-06-01,11:15:00,1784,up
2026-06-01,11:30:00,1768,down
2026-06-01,11:58:00,1752,down
2026-06-01,13:43:00,1736,down
2026-06-01,14:32:00,1720,down
2026-06-02,09:15:00,1688,down
2026-06-02,09:26:00,1704,up
2026-06-02,09:39:00,1720,up
2026-06-02,10:58:00,1704,down
2026-06-02,13:07:00,1720,up
2026-06-03,09:15:00,1704,down
2026-06-03,09:33:00,1688,down
2026-06-03,11:59:00,1672,down
2026-06-03,12:35:00,1688,up
2026-06-03,14:19:00,1704,up
2026-06-04,10:22:00,1720,up
2026-06-04,11:06:00,1704,down
2026-06-05,10:50:00,1720,up
2026-06-05,11:00:00,1736,up
2026-06-05,11:38:00,1720,down
2026-06-05,15:29:00,1704,down
2026-06-08,09:15:00,1688,down
2026-06-08,09:25:00,1672,down
2026-06-08,10:37:00,1688,up
2026-06-08,13:48:00,1672,down
2026-06-08,15:14:00,1656,down
2026-06-09,09:30:00,1672,up
2026-06-10,13:01:59,1672,up
2026-06-10,14:45:37,1656,down
2026-06-10,15:15:54,1640,down
