date,time,level,direction
2026-06-01,09:56:00,4260,down
2026-06-02,09:15:00,4215,down
2026-06-02,14:55:00,4260,up
2026-06-03,12:03:00,4215,down
2026-06-03,14:17:00,4260,up
2026-06-04,14:56:00,4215,down
2026-06-05,11:06:00,4260,up
2026-06-05,13:37:00,4215,down
2026-06-08,09:15:00,4170,down
2026-06-08,12:43:00,4215,up
2026-06-08,14:49:00,4260,up
2026-06-09,09:56:00,4215,down
2026-06-09,14:40:00,4260,up
2026-06-10,09:16:00,4305,up
2026-06-10,09:26:00,4260,down
2026-06-10,14:39:31,4260,down
2026-06-10,15:14:51,4215,down
