date,time,level,direction
2026-06-01,13:16:00,592,down
2026-06-01,14:56:00,586,down
2026-06-02,09:21:00,580,down
2026-06-02,12:14:00,574,down
2026-06-02,12:47:00,580,up
2026-06-03,09:25:00,574,down
2026-06-05,09:15:00,580,up
2026-06-05,09:29:00,586,up
2026-06-05,14:16:00,580,down
2026-06-08,09:15:00,574,down
2026-06-08,09:17:00,568,down
2026-06-08,15:22:00,562,down
2026-06-09,09:19:00,568,up
2026-06-09,10:50:00,562,down
2026-06-09,10:52:00,562,up
2026-06-10,13:53:31,556,down
2026-06-10,14:53:41,550,down
