date,time,level,direction
2026-06-01,09:19:00,1139,up
2026-06-02,09:35:00,1151,up
2026-06-03,09:55:00,1139,down
2026-06-03,12:03:00,1127,down
2026-06-03,12:40:00,1139,up
2026-06-04,09:29:00,1127,down
2026-06-05,09:16:00,1115,down
2026-06-05,09:50:00,1103,down
2026-06-05,15:24:00,1091,down
2026-06-08,09:15:00,1067,down
2026-06-08,15:23:00,1055,down
2026-06-09,11:47:00,1067,up
2026-06-09,14:08:00,1079,up
2026-06-10,09:15:00,1067,down
2026-06-10,09:16:00,1055,down
2026-06-10,09:19:00,1043,down
2026-06-10,12:17:00,1055,up
2026-06-10,12:19:00,1055,up
2026-06-10,13:52:29,1043,down
