date,time,level,direction
2026-06-01,09:44:00,1174,up
2026-06-01,09:54:00,1186,up
2026-06-02,09:15:00,1210,up
2026-06-02,09:20:00,1222,up
2026-06-02,10:07:00,1234,up
2026-06-02,10:41:00,1246,up
2026-06-03,09:15:00,1222,down
2026-06-03,09:21:00,1210,down
2026-06-03,09:47:00,1198,down
2026-06-04,09:15:00,1186,down
2026-06-04,10:27:00,1174,down
2026-06-05,09:15:00,1186,up
2026-06-05,13:55:00,1174,down
2026-06-08,09:15:00,1162,down
2026-06-09,09:38:00,1150,down
2026-06-10,09:16:00,1162,up
2026-06-10,13:13:08,1150,down
