date,time,level,direction
2026-06-01,09:37:00,480,up
2026-06-02,09:52:00,485,up
2026-06-03,09:25:00,490,up
2026-06-03,09:42:00,495,up
2026-06-03,12:03:00,490,down
2026-06-05,11:19:00,485,down
2026-06-05,14:27:00,490,up
2026-06-05,15:01:00,485,down
2026-06-08,11:55:00,490,up
2026-06-08,15:00:00,485,down
2026-06-08,15:20:00,480,down
2026-06-09,09:40:00,475,down
2026-06-09,10:34:00,470,down
2026-06-09,11:12:00,475,up
2026-06-10,09:15:00,470,down
2026-06-10,09:16:00,465,down
2026-06-10,11:38:00,460,down
2026-06-10,11:44:00,460,up
2026-06-10,12:49:51,455,down
2026-06-10,13:12:07,450,down
2026-06-10,13:34:14,445,down
2026-06-10,13:40:21,440,down
2026-06-10,13:50:28,435,down
2026-06-10,14:19:23,430,down
2026-06-10,14:45:37,425,down
2026-06-10,14:56:43,430,up
