date,time,level,direction
2026-06-01,13:52:00,424,down
2026-06-02,09:15:00,416,down
2026-06-02,11:13:00,412,down
2026-06-03,13:18:00,416,up
2026-06-04,09:16:00,420,up
2026-06-04,11:38:00,424,up
2026-06-04,12:08:00,428,up
2026-06-04,13:42:00,424,down
2026-06-05,09:15:00,428,up
2026-06-05,09:18:00,432,up
2026-06-05,10:25:00,436,up
2026-06-05,10:38:00,432,down
2026-06-05,10:44:00,428,down
2026-06-05,11:06:00,432,up
2026-06-05,11:47:00,436,up
2026-06-05,12:56:00,432,down
2026-06-08,09:15:00,428,down
2026-06-08,10:42:00,432,up
2026-06-08,15:22:00,428,down
2026-06-09,09:21:00,432,up
2026-06-09,09:51:00,436,up
2026-06-10,10:52:00,440,up
2026-06-10,11:20:00,436,down
2026-06-10,12:44:45,436,down
2026-06-10,14:53:41,432,down
