date,time,level,direction
2026-06-01,13:11:00,334,down
2026-06-02,09:15:00,331,down
2026-06-02,09:16:00,328,down
2026-06-02,10:58:00,325,down
2026-06-02,11:52:00,322,down
2026-06-02,13:29:00,325,up
2026-06-04,09:16:00,328,up
2026-06-04,09:21:00,331,up
2026-06-04,11:48:00,334,up
2026-06-05,09:15:00,337,up
2026-06-05,09:17:00,340,up
2026-06-05,10:24:00,343,up
2026-06-08,09:15:00,340,down
2026-06-08,10:32:00,343,up
2026-06-08,10:51:00,346,up
2026-06-08,15:04:00,343,down
2026-06-09,09:22:00,346,up
2026-06-09,09:45:00,349,up
2026-06-09,14:26:00,352,up
2026-06-10,12:52:54,352,up
2026-06-10,15:10:48,349,down
