date,time,level,direction
2026-06-01,14:23:00,951,down
2026-06-02,12:29:00,941,down
2026-06-02,12:50:00,951,up
2026-06-02,14:09:00,961,up
2026-06-03,09:15:00,951,down
2026-06-03,10:27:00,941,down
2026-06-03,12:46:00,951,up
2026-06-03,14:08:00,961,up
2026-06-03,15:05:00,971,up
2026-06-04,10:03:00,981,up
2026-06-05,09:56:00,991,up
2026-06-05,10:39:00,981,down
2026-06-05,11:08:00,991,up
2026-06-05,12:50:00,981,down
2026-06-08,09:15:00,971,down
2026-06-08,09:27:00,981,up
2026-06-09,11:09:00,991,up
2026-06-09,12:45:00,1001,up
2026-06-10,09:37:00,1011,up
2026-06-10,09:39:00,1011,up
2026-06-10,12:20:00,1011,up
2026-06-10,14:44:36,1001,down
