date,time,level,direction
2026-06-01,09:56:00,4046,down
2026-06-02,09:16:00,4006,down
2026-06-02,13:25:00,4046,up
2026-06-02,13:38:00,4086,up
2026-06-03,09:34:00,4046,down
2026-06-03,11:33:00,4006,down
2026-06-03,13:47:00,4046,up
2026-06-03,14:34:00,4086,up
2026-06-04,09:27:00,4126,up
2026-06-04,10:06:00,4166,up
2026-06-04,10:59:00,4126,down
2026-06-04,12:16:00,4166,up
2026-06-04,12:38:00,4126,down
2026-06-04,13:10:00,4166,up
2026-06-04,13:19:00,4206,up
2026-06-04,15:22:00,4246,up
2026-06-08,11:50:00,4206,down
2026-06-09,09:38:00,4166,down
2026-06-09,09:56:00,4126,down
2026-06-10,12:03:00,4086,down
2026-06-10,12:08:00,4086,up
2026-06-10,14:42:32,4046,down
