date,time,level,direction
2026-06-01,11:32:00,390,down
2026-06-01,14:12:00,386,down
2026-06-02,09:15:00,382,down
2026-06-02,09:20:00,386,up
2026-06-02,09:32:00,382,down
2026-06-02,11:08:00,378,down
2026-06-02,12:40:00,382,up
2026-06-02,13:12:00,386,up
2026-06-02,14:22:00,390,up
2026-06-03,10:57:00,386,down
2026-06-03,12:30:00,390,up
2026-06-03,13:23:00,394,up
2026-06-03,14:23:00,398,up
2026-06-04,09:29:00,394,down
2026-06-04,10:05:00,398,up
2026-06-04,11:03:00,394,down
2026-06-04,12:54:00,398,up
2026-06-05,09:17:00,402,up
2026-06-05,09:58:00,398,down
2026-06-05,10:46:00,394,down
2026-06-05,11:09:00,398,up
2026-06-08,09:15:00,390,down
2026-06-10,09:21:00,386,down
2026-06-10,09:25:00,386,up
2026-06-10,12:39:40,386,down
2026-06-10,15:01:45,382,down
