ADANIPORTS,1803,18
ADANIENT,2925,30
ASIANPAINT,2662,25
AXISBANK,1254,12
BAJAJFINSV,1732,18
BAJFINANCE,876,9
BANKBARODA,269,3
BEL,406.5,4
BHARTIARTL,1821,18
BHEL,405,4
BPCL,292.5,3
BRITANNIA,5064,50
COALINDIA,471,5
COLPAL,2020,20
CONCOR,451,4
DABUR,418,4
GAIL,163.7,2
GRASIM,3098,30
GODREJCP,986,10
GODREJPROP,1704,16
HAL,4260,45
HAVELLS,1156,12
HDFCAMC,2511,25
HDFCBANK,753,8
HDFCLIFE,574,6
HINDALCO,1139,12
HINDPETRO,383,4
HINDUNILVR,2091,20
ICICIBANK,1242,12
INDUSINDBANK,899,9
INFY,1222,12
IOC,137,2
IRCTC,510,5
IRFC,95.7,1.5
ITC,276,3
JIOFIN,235,3
KOTAKBANK,381,4
LICI,402,4
NHPC,75.1,1.5
NMDC,96,2
NTPC,366,4
OIL,490,5
ONGC,267,3
PFC,416,4
POWERGRID,285,3
RECLTD,325,3
RELIANCE,1313,15
RVNL,238,3
SBILIFE,1783,18
SBIN,971,10
TATASTEEL,211,3
TITAN,4086,40
TMPV,398,4
