date,time,level,direction
2026-06-01,03:16:00,82,up
2026-06-01,09:00:00,83,up
2026-06-01,10:18:00,82,down
2026-06-01,13:17:00,81,down
2026-06-01,19:25:00,80,down
2026-06-01,21:36:00,79,down
2026-06-01,22:59:00,80,up
2026-06-02,07:06:00,79,down
2026-06-02,12:25:00,78,down
2026-06-02,19:39:00,77,down
2026-06-02,19:53:00,76,down
2026-06-02,21:00:00,75,down
2026-06-02,21:42:00,76,up
2026-06-02,23:37:00,77,up
2026-06-03,00:23:00,76,down
2026-06-03,00:57:00,75,down
2026-06-03,03:48:00,74,down
2026-06-03,04:31:00,73,down
2026-06-03,05:46:00,74,up
2026-06-03,09:09:00,73,down
2026-06-03,09:56:00,74,up
2026-06-03,10:34:00,75,up
2026-06-03,12:04:00,76,up
2026-06-03,21:32:00,75,down
2026-06-04,02:18:00,74,down
2026-06-04,03:04:00,75,up
2026-06-04,05:58:00,74,down
2026-06-04,06:46:00,73,down
2026-06-04,06:54:00,72,down
2026-06-04,07:32:00,71,down
2026-06-04,07:33:00,70,down
2026-06-04,07:34:00,69,down
2026-06-04,07:37:00,70,up
2026-06-04,07:52:00,71,up
2026-06-04,08:35:00,72,up
2026-06-04,09:13:00,73,up
2026-06-04,10:35:00,72,down
2026-06-04,13:38:00,71,down
2026-06-04,14:54:00,70,down
2026-06-04,17:34:00,71,up
2026-06-04,18:18:00,72,up
2026-06-04,18:55:00,71,down
2026-06-04,19:02:00,72,up
2026-06-05,03:01:00,71,down
2026-06-05,04:04:00,70,down
2026-06-05,04:30:00,71,up
2026-06-05,07:52:00,70,down
2026-06-05,08:36:00,69,down
2026-06-05,10:28:00,70,up
2026-06-05,11:11:00,69,down
2026-06-05,11:26:00,68,down
2026-06-05,11:42:00,67,down
2026-06-05,11:47:00,66,down
2026-06-05,11:51:00,65,down
2026-06-05,12:03:00,66,up
2026-06-05,12:13:00,67,up
2026-06-05,13:03:00,68,up
2026-06-05,13:17:00,69,up
2026-06-05,13:38:00,68,down
2026-06-05,16:39:00,67,down
2026-06-05,17:31:00,66,down
2026-06-05,18:05:00,65,down
2026-06-05,19:15:00,64,down
2026-06-05,19:25:00,63,down
2026-06-05,20:19:00,62,down
2026-06-05,21:06:00,61,down
2026-06-05,21:27:00,62,up
2026-06-05,21:51:00,63,up
2026-06-05,22:09:00,62,down
2026-06-05,22:24:00,63,up
2026-06-05,23:55:00,62,down
2026-06-06,00:22:00,61,down
2026-06-06,00:36:00,60,down
2026-06-06,01:17:00,61,up
2026-06-06,01:32:00,60,down
2026-06-06,01:39:00,61,up
2026-06-06,01:54:00,62,up
2026-06-06,03:06:00,63,up
2026-06-06,05:03:00,62,down
2026-06-06,05:40:00,63,up
2026-06-06,06:50:00,62,down
2026-06-06,07:46:00,61,down
2026-06-06,08:55:00,60,down
2026-06-06,09:49:00,59,down
2026-06-06,10:53:00,60,up
2026-06-06,11:28:00,61,up
2026-06-06,13:58:00,62,up
2026-06-06,15:31:00,61,down
2026-06-06,18:19:00,62,up
2026-06-06,19:02:00,61,down
2026-06-06,20:47:00,60,down
2026-06-06,23:58:00,61,up
2026-06-07,01:24:00,60,down
2026-06-07,05:25:00,61,up
2026-06-07,06:38:00,62,up
2026-06-07,12:06:00,63,up
2026-06-07,14:16:00,64,up
2026-06-07,16:21:00,63,down
2026-06-07,17:48:00,62,down
2026-06-07,19:52:00,63,up
2026-06-08,00:31:00,62,down
2026-06-08,03:42:00,63,up
2026-06-08,03:44:00,64,up
2026-06-08,03:47:00,65,up
2026-06-08,04:02:00,64,down
2026-06-08,06:45:00,63,down
2026-06-08,11:11:00,62,down
2026-06-08,14:04:00,63,up
2026-06-08,16:49:00,64,up
2026-06-08,20:42:00,65,up
2026-06-08,22:25:00,64,down
2026-06-09,05:54:00,63,down
2026-06-09,07:49:00,62,down
2026-06-09,11:02:00,63,up
2026-06-09,15:39:00,62,down
2026-06-09,19:59:00,61,down
2026-06-09,21:49:00,60,down
2026-06-09,22:46:00,61,up
2026-06-10,01:01:00,62,up
