date,time,level,direction
2026-06-01,04:10:00,714,up
2026-06-01,04:38:00,710,down
2026-06-01,06:00:00,714,up
2026-06-01,06:31:00,710,down
2026-06-01,06:56:00,706,down
2026-06-01,07:12:00,698,down
2026-06-01,07:46:00,702,up
2026-06-01,08:08:00,706,up
2026-06-01,09:37:00,702,down
2026-06-01,09:56:00,698,down
2026-06-01,11:38:00,694,down
2026-06-01,12:48:00,690,down
2026-06-01,13:17:00,686,down
2026-06-01,14:32:00,690,up
2026-06-01,14:55:00,694,up
2026-06-01,15:02:00,698,up
2026-06-01,15:04:00,702,up
2026-06-01,15:10:00,706,up
2026-06-01,15:11:00,710,up
2026-06-01,15:14:00,714,up
2026-06-01,15:15:00,718,up
2026-06-01,15:16:00,722,up
2026-06-01,15:17:00,726,up
2026-06-01,15:21:00,722,down
2026-06-01,15:22:00,718,down
2026-06-01,15:25:00,714,down
2026-06-01,15:33:00,710,down
2026-06-01,15:34:00,706,down
2026-06-01,15:53:00,702,down
2026-06-01,16:03:00,698,down
2026-06-01,16:28:00,702,up
2026-06-01,16:38:00,706,up
2026-06-01,16:56:00,702,down
2026-06-01,17:19:00,698,down
2026-06-01,17:38:00,694,down
2026-06-01,17:40:00,690,down
2026-06-01,17:51:00,694,up
2026-06-01,18:38:00,690,down
2026-06-01,19:15:00,686,down
2026-06-01,19:22:00,682,down
2026-06-01,19:29:00,686,up
2026-06-01,19:41:00,682,down
2026-06-01,19:58:00,678,down
2026-06-01,21:01:00,682,up
2026-06-01,21:29:00,678,down
2026-06-01,22:04:00,682,up
2026-06-01,22:59:00,686,up
2026-06-01,23:53:00,690,up
2026-06-01,23:58:00,694,up
2026-06-02,01:39:00,698,up
2026-06-02,02:37:00,694,down
2026-06-02,02:39:00,690,down
2026-06-02,04:00:00,694,up
2026-06-02,06:39:00,690,down
2026-06-02,07:07:00,686,down
2026-06-02,07:36:00,682,down
2026-06-02,07:51:00,686,up
2026-06-02,08:01:00,690,up
2026-06-02,08:53:00,694,up
2026-06-02,09:40:00,690,down
2026-06-02,10:32:00,686,down
2026-06-02,11:43:00,682,down
2026-06-02,12:48:00,686,up
2026-06-02,13:16:00,682,down
2026-06-02,14:57:00,678,down
2026-06-02,19:10:00,674,down
2026-06-02,19:53:00,670,down
2026-06-02,20:04:00,674,up
2026-06-02,20:32:00,670,down
2026-06-02,21:00:00,666,down
2026-06-02,21:06:00,662,down
