date,time,level,direction
2026-06-01,04:31:00,74000,up
2026-06-01,07:14:00,73500,down
2026-06-01,12:54:00,73000,down
2026-06-01,17:28:00,72500,down
2026-06-01,17:41:00,72000,down
2026-06-01,19:26:00,71500,down
2026-06-01,21:38:00,71000,down
2026-06-01,22:27:00,71500,up
2026-06-02,03:13:00,71000,down
2026-06-02,05:07:00,71500,up
2026-06-02,07:04:00,71000,down
2026-06-02,07:35:00,70500,down
2026-06-02,08:35:00,71000,up
2026-06-02,11:12:00,70500,down
2026-06-02,12:26:00,70000,down
2026-06-02,14:51:00,69500,down
2026-06-02,18:30:00,69000,down
2026-06-02,19:39:00,68500,down
2026-06-02,19:55:00,68000,down
2026-06-02,20:56:00,67500,down
2026-06-02,21:48:00,68000,up
2026-06-02,22:25:00,67500,down
2026-06-03,00:59:00,67000,down
2026-06-03,02:21:00,67500,up
2026-06-03,04:09:00,67000,down
2026-06-03,04:22:00,66500,down
2026-06-03,05:46:00,67000,up
2026-06-03,08:39:00,66500,down
2026-06-03,09:13:00,66000,down
2026-06-03,09:20:00,65500,down
2026-06-03,09:31:00,66000,up
2026-06-03,09:35:00,66500,up
2026-06-03,10:34:00,67000,up
2026-06-03,20:47:00,66500,down
2026-06-03,21:31:00,66000,down
2026-06-04,01:23:00,65500,down
2026-06-04,02:25:00,65000,down
2026-06-04,02:37:00,65500,up
2026-06-04,04:07:00,65000,down
2026-06-04,04:39:00,64500,down
2026-06-04,05:55:00,64000,down
2026-06-04,05:59:00,63500,down
2026-06-04,06:46:00,63000,down
2026-06-04,07:20:00,62500,down
2026-06-04,07:31:00,62000,down
2026-06-04,07:34:00,61500,down
2026-06-04,07:36:00,62000,up
2026-06-04,07:49:00,62500,up
2026-06-04,07:54:00,63000,up
2026-06-04,08:18:00,63500,up
2026-06-04,08:45:00,64000,up
2026-06-04,09:10:00,64500,up
2026-06-04,10:35:00,64000,down
2026-06-04,13:39:00,63500,down
2026-06-04,14:55:00,63000,down
2026-06-04,16:17:00,62500,down
2026-06-04,17:53:00,63000,up
2026-06-04,18:02:00,63500,up
2026-06-04,19:08:00,64000,up
2026-06-04,22:04:00,63500,down
2026-06-04,23:10:00,63000,down
2026-06-04,23:22:00,63500,up
2026-06-05,00:08:00,64000,up
2026-06-05,01:33:00,63500,down
2026-06-05,07:50:00,63000,down
2026-06-05,08:35:00,62500,down
2026-06-05,09:55:00,63000,up
2026-06-05,10:28:00,63500,up
2026-06-05,11:13:00,63000,down
2026-06-05,11:27:00,62500,down
2026-06-05,11:46:00,62000,down
2026-06-05,11:52:00,61500,down
2026-06-05,12:14:00,62000,up
2026-06-05,12:41:00,61500,down
2026-06-05,12:56:00,62000,up
2026-06-05,13:03:00,62500,up
2026-06-05,13:29:00,63000,up
2026-06-05,14:21:00,62500,down
2026-06-05,14:44:00,63000,up
2026-06-05,16:06:00,62500,down
2026-06-05,17:29:00,62000,down
2026-06-05,19:19:00,61500,down
2026-06-05,19:26:00,61000,down
2026-06-05,19:55:00,60500,down
2026-06-05,20:06:00,61000,up
2026-06-05,21:06:00,60500,down
2026-06-05,21:40:00,60000,down
2026-06-05,21:43:00,60500,up
2026-06-05,21:45:00,61000,up
2026-06-05,23:49:00,60500,down
2026-06-06,00:12:00,60000,down
2026-06-06,00:22:00,59500,down
2026-06-06,01:16:00,60000,up
2026-06-06,01:38:00,60500,up
2026-06-06,01:45:00,61000,up
2026-06-06,02:20:00,61500,up
2026-06-06,04:52:00,61000,down
2026-06-06,05:47:00,61500,up
2026-06-06,06:51:00,61000,down
2026-06-06,09:36:00,60500,down
2026-06-06,09:58:00,60000,down
2026-06-06,10:52:00,60500,up
2026-06-06,11:20:00,61000,up
2026-06-06,15:50:00,60500,down
2026-06-06,17:36:00,61000,up
2026-06-06,20:48:00,60500,down
2026-06-07,06:33:00,61000,up
2026-06-07,06:48:00,61500,up
2026-06-07,10:48:00,62000,up
2026-06-07,13:58:00,62500,up
2026-06-07,17:47:00,62000,down
2026-06-08,00:45:00,61500,down
2026-06-08,03:41:00,62000,up
2026-06-08,03:43:00,62500,up
2026-06-08,03:44:00,63500,up
2026-06-08,03:54:00,63000,down
2026-06-08,05:59:00,63500,up
2026-06-08,06:46:00,63000,down
2026-06-08,11:07:00,62500,down
2026-06-08,11:48:00,63000,up
2026-06-08,14:46:00,63500,up
2026-06-08,17:34:00,63000,down
2026-06-08,18:12:00,63500,up
2026-06-08,20:27:00,64000,up
2026-06-08,22:30:00,63500,down
2026-06-09,05:45:00,63000,down
2026-06-09,06:18:00,62500,down
2026-06-09,10:04:00,63000,up
2026-06-09,11:04:00,63500,up
2026-06-09,13:35:00,63000,down
2026-06-09,18:15:00,62500,down
2026-06-09,19:45:00,62000,down
2026-06-09,20:05:00,61500,down
2026-06-09,21:35:00,61000,down
2026-06-09,22:32:00,61500,up
2026-06-10,01:22:00,62000,up
2026-06-10,06:13:00,61500,down
