date,time,level,direction
2026-06-01,03:15:00,2010,up
2026-06-01,04:33:00,2020,up
2026-06-01,04:52:00,2010,down
2026-06-01,07:23:00,2000,down
2026-06-01,08:12:00,2010,up
2026-06-01,09:51:00,2000,down
2026-06-01,11:39:00,1990,down
2026-06-01,13:17:00,1980,down
2026-06-01,18:08:00,1990,up
2026-06-01,18:40:00,1980,down
2026-06-01,19:25:00,1970,down
2026-06-01,22:32:00,1980,up
2026-06-01,22:59:00,1990,up
2026-06-02,00:59:00,2000,up
2026-06-02,03:31:00,1990,down
2026-06-02,03:56:00,2000,up
2026-06-02,07:02:00,1990,down
2026-06-02,07:30:00,1980,down
2026-06-02,07:36:00,1970,down
2026-06-02,07:54:00,1980,up
2026-06-02,08:03:00,1990,up
2026-06-02,08:36:00,2000,up
2026-06-02,11:10:00,1990,down
2026-06-02,12:26:00,1980,down
2026-06-02,12:48:00,1990,up
2026-06-02,12:57:00,1980,down
2026-06-02,14:51:00,1970,down
2026-06-02,15:49:00,1980,up
2026-06-02,19:38:00,1970,down
2026-06-02,19:51:00,1960,down
2026-06-02,19:52:00,1950,down
2026-06-02,19:57:00,1940,down
2026-06-02,20:47:00,1930,down
2026-06-02,20:55:00,1920,down
2026-06-02,21:00:00,1900,down
2026-06-02,21:01:00,1910,up
2026-06-02,21:07:00,1900,down
2026-06-02,21:13:00,1910,up
2026-06-02,21:39:00,1920,up
2026-06-02,21:43:00,1930,up
2026-06-02,21:48:00,1940,up
2026-06-02,21:53:00,1930,down
2026-06-02,23:52:00,1920,down
2026-06-03,00:11:00,1910,down
2026-06-03,01:01:00,1900,down
2026-06-03,01:03:00,1890,down
2026-06-03,01:13:00,1900,up
2026-06-03,01:20:00,1910,up
2026-06-03,01:53:00,1900,down
2026-06-03,02:35:00,1910,up
2026-06-03,03:23:00,1900,down
2026-06-03,03:44:00,1890,down
2026-06-03,03:53:00,1900,up
2026-06-03,04:10:00,1890,down
2026-06-03,04:20:00,1880,down
2026-06-03,04:22:00,1870,down
2026-06-03,04:31:00,1860,down
2026-06-03,04:38:00,1870,up
2026-06-03,04:48:00,1860,down
2026-06-03,04:55:00,1850,down
2026-06-03,05:19:00,1860,up
2026-06-03,05:46:00,1870,up
2026-06-03,06:40:00,1860,down
2026-06-03,08:39:00,1850,down
2026-06-03,09:03:00,1840,down
2026-06-03,09:09:00,1830,down
2026-06-03,09:20:00,1820,down
2026-06-03,09:22:00,1830,up
2026-06-03,09:34:00,1840,up
2026-06-03,10:28:00,1850,up
2026-06-03,10:34:00,1860,up
2026-06-03,10:40:00,1870,up
2026-06-03,11:01:00,1860,down
2026-06-03,11:21:00,1870,up
2026-06-03,12:04:00,1880,up
2026-06-03,12:30:00,1870,down
2026-06-03,14:13:00,1880,up
2026-06-03,15:38:00,1890,up
2026-06-03,17:16:00,1880,down
2026-06-03,17:45:00,1870,down
2026-06-03,19:49:00,1860,down
2026-06-03,20:37:00,1850,down
2026-06-03,21:17:00,1840,down
2026-06-03,21:50:00,1830,down
2026-06-03,21:54:00,1820,down
2026-06-03,22:16:00,1830,up
2026-06-03,22:37:00,1820,down
2026-06-03,23:02:00,1830,up
2026-06-04,00:51:00,1820,down
2026-06-04,01:21:00,1810,down
2026-06-04,01:31:00,1800,down
2026-06-04,01:42:00,1810,up
2026-06-04,01:47:00,1800,down
2026-06-04,01:56:00,1810,up
2026-06-04,02:08:00,1800,down
2026-06-04,02:17:00,1790,down
2026-06-04,02:25:00,1780,down
2026-06-04,02:33:00,1790,up
2026-06-04,02:37:00,1800,up
2026-06-04,03:02:00,1810,up
2026-06-04,03:12:00,1820,up
2026-06-04,03:13:00,1830,up
2026-06-04,03:19:00,1840,up
2026-06-04,03:29:00,1850,up
2026-06-04,03:42:00,1840,down
2026-06-04,03:51:00,1830,down
2026-06-04,04:38:00,1820,down
2026-06-04,05:54:00,1810,down
2026-06-04,05:56:00,1800,down
2026-06-04,05:59:00,1790,down
2026-06-04,06:01:00,1800,up
2026-06-04,06:08:00,1790,down
2026-06-04,06:14:00,1800,up
2026-06-04,06:16:00,1790,down
2026-06-04,06:47:00,1780,down
2026-06-04,06:54:00,1770,down
2026-06-04,06:56:00,1780,up
2026-06-04,07:20:00,1770,down
2026-06-04,07:22:00,1760,down
2026-06-04,07:32:00,1750,down
2026-06-04,07:33:00,1740,down
2026-06-04,07:34:00,1730,down
2026-06-04,07:36:00,1740,up
2026-06-04,07:50:00,1750,up
2026-06-04,07:52:00,1760,up
2026-06-04,07:54:00,1770,up
2026-06-04,08:34:00,1780,up
2026-06-04,08:36:00,1790,up
2026-06-04,08:46:00,1800,up
2026-06-04,09:13:00,1810,up
2026-06-04,10:32:00,1800,down
2026-06-04,10:37:00,1790,down
2026-06-04,12:06:00,1800,up
2026-06-04,12:25:00,1790,down
2026-06-04,12:37:00,1780,down
2026-06-04,13:43:00,1770,down
2026-06-04,14:45:00,1760,down
2026-06-04,14:56:00,1750,down
2026-06-04,15:16:00,1760,up
2026-06-04,16:16:00,1750,down
2026-06-04,16:19:00,1740,down
2026-06-04,17:00:00,1750,up
2026-06-04,17:53:00,1760,up
2026-06-04,18:01:00,1770,up
2026-06-04,18:07:00,1780,up
2026-06-04,18:46:00,1770,down
2026-06-04,18:51:00,1760,down
2026-06-04,19:01:00,1770,up
2026-06-04,19:03:00,1780,up
2026-06-04,19:38:00,1790,up
2026-06-04,20:00:00,1780,down
2026-06-04,20:18:00,1770,down
2026-06-04,20:35:00,1780,up
2026-06-04,20:39:00,1790,up
2026-06-04,20:50:00,1780,down
2026-06-04,22:00:00,1770,down
2026-06-04,23:05:00,1760,down
2026-06-04,23:22:00,1770,up
2026-06-05,00:25:00,1780,up
2026-06-05,01:35:00,1770,down
2026-06-05,02:37:00,1780,up
2026-06-05,02:58:00,1770,down
2026-06-05,03:34:00,1760,down
2026-06-05,04:30:00,1770,up
2026-06-05,04:49:00,1760,down
2026-06-05,05:20:00,1770,up
2026-06-05,06:28:00,1760,down
2026-06-05,06:33:00,1750,down
2026-06-05,07:00:00,1760,up
2026-06-05,07:31:00,1750,down
2026-06-05,07:50:00,1740,down
2026-06-05,08:30:00,1730,down
2026-06-05,10:28:00,1740,up
2026-06-05,10:46:00,1730,down
2026-06-05,11:07:00,1720,down
2026-06-05,11:11:00,1710,down
2026-06-05,11:14:00,1700,down
2026-06-05,11:26:00,1690,down
2026-06-05,11:30:00,1680,down
2026-06-05,11:33:00,1670,down
2026-06-05,11:35:00,1680,up
2026-06-05,11:46:00,1670,down
2026-06-05,11:48:00,1660,down
2026-06-05,11:52:00,1650,down
