date,time,level,direction
2026-06-01,06:13:00,83,up
2026-06-01,13:17:00,81,down
2026-06-02,14:55:00,79,down
2026-06-02,20:33:00,77,down
2026-06-03,01:03:00,75,down
2026-06-03,04:55:00,73,down
2026-06-03,05:46:00,75,up
2026-06-03,09:14:00,73,down
2026-06-03,11:53:00,75,up
2026-06-03,21:48:00,73,down
2026-06-04,05:59:00,71,down
2026-06-04,07:20:00,69,down
2026-06-04,07:34:00,67,down
2026-06-04,07:53:00,69,up
2026-06-04,08:45:00,71,up
2026-06-04,13:39:00,69,down
2026-06-05,09:31:00,67,down
2026-06-05,11:52:00,65,down
2026-06-06,00:22:00,63,down
2026-06-06,02:45:00,65,up
2026-06-06,05:03:00,63,down
2026-06-06,10:01:00,61,down
2026-06-06,11:44:00,63,up
2026-06-07,13:01:00,65,up
2026-06-08,03:44:00,67,up
2026-06-09,19:50:00,65,down
2026-06-09,19:52:00,65,up
