date,time,level,direction
2026-06-01,01:36:00,3.0,up
2026-06-02,12:32:00,2.9,down
2026-06-02,21:00:00,2.8,down
2026-06-03,16:31:00,2.9,up
2026-06-04,02:14:00,2.8,down
2026-06-04,06:52:00,2.7,down
2026-06-04,07:34:00,2.6,down
2026-06-04,08:09:00,2.7,up
2026-06-05,06:34:00,2.6,down
2026-06-05,11:46:00,2.5,down
2026-06-05,21:40:00,2.4,down
2026-06-07,06:38:00,2.5,up
2026-06-07,14:45:00,2.6,up
2026-06-07,18:12:00,2.5,down
2026-06-08,03:47:00,2.6,up
2026-06-08,17:44:00,2.5,down
2026-06-09,00:36:00,2.6,up
2026-06-09,05:51:00,2.5,down
2026-06-09,09:40:00,2.5,up
